bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
bien sûr la croissance ça vient d' être dit aussi et faut surtout qu' on arrête cet cette spirale infernale où ce sont les états	sur la croissance ça vient d' être dit aussi et il faut surtout qu' on arrête ses puis cette spirale infernale où ce sont les etats	_
qui recapitalisent les banques ce qui pèse sur la dette des états et ce qui renchérit encore et ce qui fragilise	qui recapitaliser les banques ce qui pèse sur la dette des etats et ce qui renchérit encore et ce qui fragilise	_
la position de la dette des états sur les marchés il faut faire ce qui a été décidé au dernier sommet de juin c' est à dire	la position de la dette des etats sur les marchés il faut faire ce qui a été décidé au dernier sommet de joints c' est à dire	_
que ce soit directement le mécanisme européen de stabilité qui recapitalise les banques ça permettra de	que ce soit directement le mécanisme européen de stabilité qui recapitaliser les banques ça permettra de	_
casser au moins cette partie là de cette spirale infernale	c' est au moins cette partie là de cette spirale infernale	_
alors ça met du temps à se à se concrétiser à se décliner ça met trop de temps à se concrétiser il y a encore des procédures y compris devant la juridiction constitutionnelle allemande qui laisse à penser qui faudra attendre septembre	alors ça met du temps se à se concrétiser à se décliner ça met trop de temps à se concrétiser il y a encore des procédures y compris devant la juridiction constitutionnelle allemande qui laisse à penser il faudra attendre septembre	_
alors justement à à cette occasion il y a eu un peu de cafouillage aujourd' hui on parlait d' un communiqué commun	alors justement à à cette occasion il y ait eu un peu de cafouillage aujourd' hui on parlait d' un communiqué commun	_
france espagne italie demandant justement l' accélération de la	france espagne italie demandant justement l' accélération de la	_
la la mise en place de de de ce qui avait été décidé en en juin lors du sommet européen finalement ce communiqué ce soir est démenti par notamment le ministre cazeneuve si vous avez des informations donnez les et comment expliquer ce cafouillage	la mise en place de de de ce qui avait été décidé en enjoint lors du sommet européen finalement ce communiqué ce soir est démentie par notamment le ministre cazeneuve si vous avez des informations données les et et comment expliquer ce cafouillage	_
(n) écoutez nous sommes actuellement en train de visionner à la commission des finances au moment où je vous parle le gouverneur de la banque de france et le directeur du trésor donc moi je j' ignore exactement	écoutez nous sommes actuellement très de visionner à la commission des finances au moment où je parle le gouverneur de la banque de france et le directeur du trésor donc moi je j' ignore exactement	_
la la la le contenu de ce que vous appelez un cafouillage ce qui est certain c' est que l' europe a beaucoup trop	la la la le contenu de ce que vous appelez un cafouillage ce qui est certain c' est que l' europe a beaucoup trop	_
tardé à mettre en place ces mesures que la déclinaison concrète sous forme je vous l' ai dit d' aides directes soit du fesf qui est déjà en	à mettre en place ces mesures que la déclinaison concrète sous forme je vous l' ai dit d' aide directe soit du fesf qui est déchantent	_
place soit du me mes qui doit être mis en place l' aide directe à la recapitalisation des banques elle est complètement indispensable sinon on passe par les états la dette est fragilisée et on a la dégradation des notations qui	place soit du mais mais qui doit être mis en place l' aide directe la recapitalisation des banques elles y complètement indispensable sinon on passe par les étals d' été fragilisée et on a la dégradation des notations qui	_
que vous avez évoqué tout à l' heure qui risque encore une fois de peser sur sur les états eux mêmes directement l' argent existe finalement alors en tout cas une certaine	vous avez évoqué tout à l' heure qui risque encore une fois de peser sur sur les états eux mêmes directement l' argent existe finalement en tout cas une certes	_
disponibilité encore au se fesf on parlait à l' instant en commission de de plus de cent milliards qui sont encore disponibles malheureusement s' il faut transiter par les états ça dégrade encore	disponibilité encore ou est ce fesf on parlait à l' instant en commission de de plus de cent milliards qui sont encore disponibles malheureusement s' il faut transiter par les états ça dégrade encore	_
la situation de la dette des états et ça c' est pas normal il faut intervenir directement et faut mettre en place aussi ce volet de croissance mais ça c' est j' allais dire c' est encore un autre sujet un sujet qui avance aussi et qui aurait dû avancer beaucoup plus tôt	la situation de la dette des etats et ça c' est pas normal il faut intervenir directement faut met en place aussi ce volet de croissance mais ça c' est si j' allais dire c' est encore un autre sujet un sujet qui avance aussi et qui aurait dû avancer beaucoup plus tôt	_
d' accord avec ça danielle schweisguth	d' accord avec ça daniel choïgou	_
oui oui tout à fait d' accord c' est c' est important que le que le sauvetage que le sauvetage des banques ne soit pas à la charge des états mais je peux dire on peut faire plus la	oui tout à fait d' accord c' est c' est important que le que le sauvetage que le sauvetage des banques ne soit pas la charge des etats mais on peut je peux dire on peut faire plus hein la	_
c' est à dire	est à dire	_
et bien la bce pourra intervenir il y a plusieurs façons d' aider l' espagne à l' heure actuelle l' espagne ou d' autres pays la bce pourrait intervenir davantage en achetant de la dette espagnole ce qu' elle n' a pas fait depuis dix neuf semaines	eh bien la bce pourrait intervenir y a plusieurs façons d' aider l' espagne à l' heure actuelle l' espagne ou d' autres pays la bce pourrait intervenir davantage en achetant de la dette espagnole ce qu' elle n' a pas fait depuis mille neuf semaines	_
ce qui ferait permettrait de baisser un petit peu les les taux sur la dette espagnole	ce qui ferait permettrait de baisser un petit peu les les taux sur la dette espagnole	_
et on pourrait aussi imaginer un mécanisme un peu plus puissant que le mes alors bien sûr le mes ce n' est pas comme comme l' a dit monsieur eckert il n' est pas encore en place et on fera attendre le douze septembre mais on pourrait imaginer que le mes se transforme en banque qu' il puisse emprunter sur les marchés et ensuite refinancer les états	on pourrait aussi imaginer un mécanisme un peu plus puissant que l' oms alors bien sûr l' oms n' est pas comme comme l' a dit monsieur incarner il n' est pas encore en place et on fera tombe le douze septembre on pourrait imaginer que l' oms et transforment en banque qu' ils puissent emprunter sur les marchés et ensuite refinancer les etats	_
les pays en difficulté	pays en difficulté	_
et ce qui permettrait de casser la situation	ce qui permettrait de casser la suite	_
si lent on a l' impression que y a toujours un décalage entre l' urgence d' une situation et la mise en place de décisions qui sont décidées entre dirigeants européens	si l' on on a l' impression qu' il y a toujours un décalage entre l' urgence d' une situation et la mise en place de décisions qui sont décidés entre dirigeants européens	_
parce que l' urgence est en espagne mais en allemagne elle n' est pas et la et le sentiment de la population allemande sur ces questions est très différentes que celui de la	parce que l' urgence est en espagne en allemagne elle n' est pas il est le le sentiment de la population allemande sur ces questions est très différent celui là	_
